Country,State,city,place,lastupdate,Avg,Max,Min,Pollutants
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",21-12-2018 03:00:00,274,428,150,PM10
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",21-12-2018 03:00:00,50,74,31,NO2
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",21-12-2018 03:00:00,24,112,12,CO
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",21-12-2018 03:00:00,31,63,14,OZONE
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",21-12-2018 03:00:00,383,450,227,PM2.5
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",21-12-2018 03:00:00,361,476,181,PM10
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",21-12-2018 03:00:00,110,171,56,NO2
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",21-12-2018 03:00:00,10,12,8,NH3
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",21-12-2018 03:00:00,18,57,6,SO2
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",21-12-2018 03:00:00,77,161,48,CO
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",21-12-2018 03:00:00,30,79,1,OZONE
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",21-12-2018 03:00:00,379,438,251,PM2.5
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",21-12-2018 03:00:00,235,311,150,PM10
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",21-12-2018 03:00:00,187,305,20,NO2
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",21-12-2018 03:00:00,10,16,6,NH3
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",21-12-2018 03:00:00,4,7,1,SO2
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",21-12-2018 03:00:00,70,129,28,CO
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",21-12-2018 03:00:00,28,44,10,OZONE
India,Delhi,Delhi,"Mundka, Delhi - DPCC",21-12-2018 03:00:00,433,500,327,PM2.5
India,Delhi,Delhi,"Mundka, Delhi - DPCC",21-12-2018 03:00:00,414,500,274,PM10
India,Delhi,Delhi,"Mundka, Delhi - DPCC",21-12-2018 03:00:00,74,117,33,NO2
India,Delhi,Delhi,"Mundka, Delhi - DPCC",21-12-2018 03:00:00,16,19,12,NH3
India,Delhi,Delhi,"Mundka, Delhi - DPCC",21-12-2018 03:00:00,34,43,24,SO2
India,Delhi,Delhi,"Mundka, Delhi - DPCC",21-12-2018 03:00:00,79,128,55,CO
India,Delhi,Delhi,"Mundka, Delhi - DPCC",21-12-2018 03:00:00,41,102,6,OZONE
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",21-12-2018 03:00:00,358,500,106,PM2.5
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",21-12-2018 03:00:00,46,89,21,NO2
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",21-12-2018 03:00:00,17,46,2,SO2
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",21-12-2018 03:00:00,28,143,11,CO
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",21-12-2018 03:00:00,26,84,3,OZONE
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",21-12-2018 03:00:00,336,407,260,PM2.5
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",21-12-2018 03:00:00,201,342,158,PM10
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",21-12-2018 03:00:00,76,105,45,NO2
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",21-12-2018 03:00:00,11,14,8,NH3
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",21-12-2018 03:00:00,6,14,1,SO2
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",21-12-2018 03:00:00,55,75,34,CO
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",21-12-2018 03:00:00,50,127,1,OZONE
India,Delhi,Delhi,"Narela, Delhi - DPCC",21-12-2018 03:00:00,392,483,275,PM2.5
India,Delhi,Delhi,"Narela, Delhi - DPCC",21-12-2018 03:00:00,307,445,189,PM10
India,Delhi,Delhi,"Narela, Delhi - DPCC",21-12-2018 03:00:00,53,121,12,NO2
India,Delhi,Delhi,"Narela, Delhi - DPCC",21-12-2018 03:00:00,18,19,15,NH3
India,Delhi,Delhi,"Narela, Delhi - DPCC",21-12-2018 03:00:00,8,16,2,SO2
India,Delhi,Delhi,"Narela, Delhi - DPCC",21-12-2018 03:00:00,64,121,35,CO
India,Delhi,Delhi,"Narela, Delhi - DPCC",21-12-2018 03:00:00,50,94,2,OZONE
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",21-12-2018 03:00:00,439,500,318,PM2.5
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",21-12-2018 03:00:00,378,500,183,PM10
